date,symbol,close,trading_signal,confidence_level,position_size,sma,rsi,adx,cci,macd_line,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,news_relevance,sentiment,price_impact_potential,trend_direction,earnings_impact,investor_confidence,risk_profile_change
2025-04-23,WMT,94.51,BUY,0.8,60,88.92,60.25,13.47,113.64,1.48,0.61,0.87,97.06,88.92,80.77,1,1,1,1,1,1,0
2025-04-24,WMT,95.39,HOLD,0.5,20,89.44,61.76,13.18,101.59,1.68,0.82,0.86,97.82,89.44,81.07,1,0,0,0,0,0,-1
2025-04-25,WMT,94.64,SELL,0.7,30,89.92,59.68,13.01,93.22,1.76,1.01,0.75,98.35,89.92,81.48,1,-1,-1,-1,-1,-1,1
2025-04-28,WMT,94.77,BUY,0.7,40,90.42,59.75,17.49,83.07,1.71,1.04,0.67,98.75,90.42,82.08,0,0,0,0,0,0,0
2025-04-29,WMT,95.59,SELL,0.7,30,90.83,61.24,17.9,82.71,1.74,1.09,0.65,99.33,90.83,82.32,1,-1,-1,-1,-1,-1,0
2025-04-30,WMT,96.79,BUY,0.8,60,91.25,63.79,18.5,95.65,1.93,1.3,0.63,100.05,91.25,82.44,1,1,1,1,1,1,0
2025-05-01,WMT,96.95,BUY,0.8,60,91.63,64.1,18.25,100.03,2.04,1.45,0.59,100.72,91.63,82.53,1,1,1,1,1,1,0
2025-05-02,WMT,98.28,BUY,0.8,60,92.2,66.72,18.55,116.14,2.21,1.6,0.61,101.46,92.2,82.94,1,1,1,1,1,1,0
2025-05-05,WMT,98.86,BUY,0.7,30,93.0,68.41,16.51,122.64,2.46,1.91,0.55,101.62,93.0,84.38,1,1,1,1,1,1,0
2025-05-06,WMT,98.08,BUY,0.8,60,93.73,65.8,15.88,114.75,2.6,2.19,0.4,101.42,93.73,86.05,1,1,1,1,1,1,1
2025-05-07,WMT,98.36,BUY,0.8,40,94.58,67.19,19.89,116.34,2.75,2.5,0.25,100.06,94.58,89.1,1,1,1,1,1,1,0
2025-05-08,WMT,96.97,SELL,0.7,30,94.97,61.3,20.02,89.02,2.6,2.52,0.08,99.94,94.97,90.0,1,-1,-1,-1,-1,-1,0
2025-05-09,WMT,96.49,BUY,0.7,40,95.29,59.4,19.56,45.28,2.42,2.5,-0.08,99.78,95.29,90.79,1,1,0,1,1,1,0
2025-05-12,WMT,96.52,BUY,0.7,40,95.5,60.11,25.77,39.97,2.37,2.62,-0.26,99.81,95.5,91.18,1,1,1,1,1,1,1
2025-05-13,WMT,95.66,SELL,0.7,30,95.56,56.23,24.77,12.91,2.1,2.48,-0.38,99.84,95.56,91.29,1,-1,-1,-1,-1,-1,1
2025-05-14,WMT,96.6,BUY,0.7,40,95.72,58.93,21.16,29.22,1.89,2.27,-0.38,99.91,95.72,91.52,2,1,1,1,1,1,0
2025-05-15,WMT,96.13,SELL,0.7,30,95.99,56.8,20.82,-48.0,1.73,2.16,-0.43,99.51,95.99,92.46,2,-1,-1,-1,0,-1,1
2025-05-16,WMT,98.01,SELL,0.7,30,96.25,62.55,19.51,70.01,1.74,2.08,-0.34,99.55,96.25,92.95,2,-1,-1,-1,-1,-1,1
2025-05-19,WMT,97.89,SELL,0.7,30,96.54,62.37,15.07,44.39,1.77,2.09,-0.32,99.27,96.54,93.82,2,-1,-1,-1,-1,-1,1
2025-05-20,WMT,97.57,HOLD,0.5,10,96.7,60.72,15.23,55.54,1.69,1.99,-0.3,99.28,96.7,94.13,0,0,0,0,0,0,0
2025-05-21,WMT,96.21,HOLD,0.5,20,96.79,54.07,11.89,-8.19,1.45,1.81,-0.36,99.17,96.79,94.4,1,1,1,1,0,1,0
2025-05-22,WMT,95.71,SELL,0.7,30,96.8,51.9,11.19,-45.1,1.25,1.7,-0.45,99.15,96.8,94.45,1,-1,-1,-1,0,-1,1
2025-05-23,WMT,96.12,HOLD,0.5,10,96.88,53.54,10.98,-69.2,1.12,1.58,-0.46,99.04,96.88,94.72,1,0,0,0,0,0,0
2025-05-26,WMT,96.12,HOLD,0.5,20,96.88,53.92,13.39,-69.19,1.18,1.68,-0.5,99.04,96.88,94.72,1,1,1,1,1,1,0
2025-05-27,WMT,97.35,SELL,0.7,30,97.01,58.7,12.86,18.4,1.18,1.61,-0.43,98.94,97.01,95.07,1,-1,-1,-1,-1,-1,1
2025-05-28,WMT,97.01,HOLD,0.5,20,97.08,56.49,9.18,26.72,1.01,1.36,-0.35,98.9,97.08,95.26,1,0,0,0,1,0,0
2025-05-29,WMT,96.87,HOLD,0.5,20,97.08,55.76,8.74,1.07,0.95,1.28,-0.33,98.9,97.08,95.26,2,1,1,1,1,1,0
2025-05-30,WMT,98.49,BUY,0.7,40,97.16,61.88,8.96,66.77,1.02,1.22,-0.21,99.08,97.16,95.24,1,1,1,1,1,1,0
2025-06-02,WMT,99.54,SELL,0.7,30,97.22,65.69,10.28,151.89,1.17,1.24,-0.07,99.35,97.22,95.09,1,-1,-1,-1,0,-1,1
2025-06-03,WMT,99.75,HOLD,0.6,20,97.27,67.61,20.35,184.27,1.44,1.48,-0.04,99.56,97.27,94.97,0,0,0,0,0,0,0
2025-06-04,WMT,99.12,HOLD,0.6,20,97.32,63.53,30.41,155.11,1.42,1.43,-0.01,99.73,97.32,94.91,0,0,0,0,0,0,0
2025-06-05,WMT,97.73,BUY,0.7,40,97.29,55.73,29.36,70.19,1.29,1.4,-0.11,99.66,97.29,94.91,1,1,1,1,1,1,0
2025-06-06,WMT,97.24,HOLD,0.6,20,97.3,53.25,27.95,19.19,1.14,1.35,-0.21,99.67,97.3,94.93,1,1,1,1,1,1,0
2025-06-09,WMT,97.22,HOLD,0.5,20,97.34,51.59,17.44,-5.63,0.74,0.9,-0.16,99.68,97.34,95.0,1,1,1,1,1,1,0
2025-06-10,WMT,97.09,HOLD,0.6,20,97.37,50.24,13.35,-12.35,0.54,0.72,-0.18,99.68,97.37,95.05,1,1,1,1,1,1,0
2025-06-11,WMT,95.58,HOLD,0.5,20,97.36,41.96,10.36,-100.42,0.26,0.53,-0.27,99.69,97.36,95.04,1,1,1,1,1,1,0
2025-06-12,WMT,94.61,HOLD,0.5,20,97.26,37.92,11.59,-194.71,0.02,0.43,-0.41,99.86,97.26,94.66,1,1,1,1,1,1,0
2025-06-13,WMT,94.22,HOLD,0.5,20,97.17,36.41,12.68,-183.54,-0.19,0.31,-0.5,100.05,97.17,94.28,1,1,1,1,1,1,0
2025-06-16,WMT,94.07,HOLD,0.5,10,96.97,35.73,18.47,-144.12,-0.32,0.23,-0.56,100.12,96.97,93.82,0,0,0,0,0,0,0
2025-06-17,WMT,94.03,HOLD,0.5,20,96.78,35.74,18.84,-142.69,-0.43,0.14,-0.57,100.15,96.78,93.41,1,0,0,0,0,0,0
2025-06-18,WMT,94.87,HOLD,0.5,20,96.64,42.06,18.4,-95.4,-0.47,0.02,-0.49,100.09,96.64,93.19,1,1,1,1,1,1,0
2025-06-19,WMT,94.87,HOLD,0.5,10,96.64,42.06,18.4,-95.4,-0.47,0.02,-0.49,100.09,96.64,93.19,0,0,0,0,0,0,0
2025-06-20,WMT,95.9,HOLD,0.5,20,96.63,48.71,17.35,-44.49,-0.42,-0.07,-0.35,100.08,96.63,93.17,1,1,1,1,0,1,0
2025-06-23,WMT,97.64,HOLD,0.5,10,96.72,56.94,13.81,13.07,-0.36,-0.28,-0.08,100.18,96.72,93.26,0,0,0,0,0,0,0
2025-06-24,WMT,97.77,HOLD,0.5,20,96.81,57.78,13.44,54.09,-0.16,-0.21,0.05,100.28,96.81,93.33,1,0,0,0,1,0,0
2025-06-25,WMT,97.03,BUY,0.7,40,96.79,53.19,13.15,30.88,-0.09,-0.19,0.1,100.26,96.79,93.32,1,1,1,1,1,1,0
2025-06-26,WMT,95.8,HOLD,0.5,20,96.73,46.55,12.54,-24.57,-0.13,-0.18,0.05,100.22,96.73,93.24,1,1,1,1,1,1,0
2025-06-27,WMT,97.04,BUY,0.7,40,96.74,52.93,12.25,5.74,-0.06,-0.16,0.09,100.23,96.74,93.24,1,1,1,1,1,1,0
2025-06-30,WMT,97.55,HOLD,0.5,10,96.69,54.82,12.22,24.12,-0.05,-0.24,0.19,100.11,96.69,93.27,0,0,0,0,0,0,0
2025-07-01,WMT,98.01,HOLD,0.5,20,96.61,56.62,13.95,70.34,0.01,-0.26,0.27,99.84,96.61,93.39,0,0,0,0,0,0,0
2025-07-02,WMT,97.38,HOLD,0.5,20,96.5,52.81,14.17,49.05,0.03,-0.23,0.26,99.42,96.5,93.58,1,-1,0,0,-1,0,1
2025-07-03,WMT,98.13,BUY,0.7,40,96.45,56.44,14.01,78.06,0.13,-0.16,0.29,99.22,96.45,93.68,1,1,1,1,1,1,0
2025-07-04,WMT,98.13,SELL,0.7,30,96.45,56.44,14.01,78.06,0.13,-0.16,0.29,99.22,96.45,93.68,1,-1,-1,-1,-1,-1,1
2025-07-07,WMT,99.12,SELL,0.8,40,96.52,61.37,12.84,113.57,0.36,0.03,0.34,99.47,96.52,93.56,2,-2,-1,-1,-2,-1,1
2025-07-08,WMT,96.86,BUY,0.7,40,96.5,49.4,12.79,49.17,0.31,0.1,0.21,99.44,96.5,93.55,1,1,1,1,1,1,0
2025-07-09,WMT,96.58,HOLD,0.5,10,96.46,48.12,12.36,8.92,0.23,0.12,0.11,99.39,96.46,93.54,0,0,0,0,0,0,0
2025-07-10,WMT,94.64,HOLD,0.5,20,96.34,40.36,12.18,-60.31,0.01,0.1,-0.09,99.36,96.34,93.33,1,1,1,1,1,1,0
2025-07-11,WMT,94.18,SELL,0.7,30,96.27,38.77,12.33,-90.7,-0.2,0.04,-0.24,99.42,96.27,93.13,1,-1,-1,-1,-1,-1,1
2025-07-14,WMT,95.56,HOLD,0.5,20,96.32,45.72,16.07,-63.83,-0.24,0.01,-0.25,99.39,96.32,93.25,1,1,1,1,1,1,0
2025-07-15,WMT,95.17,HOLD,0.5,10,96.37,43.68,13.6,-66.2,-0.39,-0.16,-0.23,99.33,96.37,93.4,0,0,0,0,0,0,0
2025-07-16,WMT,94.93,SELL,0.7,40,96.41,42.74,13.24,-78.61,-0.45,-0.21,-0.24,99.27,96.41,93.55,1,-1,-1,-1,-1,-1,1
2025-07-17,WMT,94.87,SELL,0.8,40,96.45,42.49,13.05,-84.75,-0.5,-0.27,-0.23,99.19,96.45,93.72,2,-2,-2,-2,-2,-2,1
2025-07-18,WMT,94.83,HOLD,0.5,20,96.45,42.32,13.24,-98.12,-0.54,-0.32,-0.22,99.19,96.45,93.71,1,1,1,1,1,1,0
2025-07-21,WMT,95.45,HOLD,0.6,20,96.43,46.65,12.22,-49.87,-0.42,-0.23,-0.19,99.19,96.43,93.66,1,1,1,1,1,1,1
2025-07-22,WMT,95.63,HOLD,0.5,10,96.33,47.6,11.46,-30.11,-0.41,-0.28,-0.12,99.06,96.33,93.6,0,0,0,0,0,0,0
2025-07-23,WMT,95.46,SELL,0.7,30,96.21,46.2,11.33,-44.37,-0.44,-0.38,-0.06,98.88,96.21,93.54,1,-1,-1,-1,0,-1,1
2025-07-24,WMT,96.37,BUY,0.7,40,96.18,51.93,10.69,-7.36,-0.35,-0.37,0.03,98.82,96.18,93.53,1,1,1,1,1,1,0
2025-07-25,WMT,97.24,BUY,0.7,40,96.25,56.63,10.68,46.79,-0.2,-0.34,0.14,98.93,96.25,93.57,1,1,1,1,1,1,1
2025-07-28,WMT,97.38,HOLD,0.5,20,96.27,57.52,10.09,67.3,-0.05,-0.25,0.2,98.97,96.27,93.57,1,0,0,0,1,0,0
2025-07-29,WMT,98.1,HOLD,0.5,20,96.29,60.73,10.48,93.21,0.04,-0.27,0.32,99.06,96.29,93.53,2,0,0,0,0,0,-1
2025-07-30,WMT,97.36,BUY,0.7,40,96.26,55.19,11.92,83.55,0.07,-0.26,0.33,98.96,96.26,93.57,1,1,1,1,1,1,0
2025-07-31,WMT,97.75,HOLD,0.5,20,96.28,57.3,12.37,84.64,0.15,-0.18,0.33,99.01,96.28,93.55,0,0,0,0,0,0,0
2025-08-01,WMT,98.26,BUY,0.8,60,96.29,59.96,12.97,103.46,0.26,-0.09,0.35,99.04,96.29,93.54,1,1,1,1,1,1,0
